Question,Answer,,,,,,
How to place Bracket order with SL and SL-M on Shoonya Web?," Please find below the YouTube link of ""How to place Bracket order with SL and SL-M on Shoonya Web"":-

https://youtu.be/Zqhkq8rmOa0",,,,,,
How to place GTC and GTD order on Shoonya web?,"Please find below the YouTube link of ""How to place GTC and GTD order on Shoonya web"":-
https://youtu.be/fD7z8bB83qM",,,,,,
How to place Bracket Order and Cover Order on shoonya web?,"Please find below the YouTube video link of ""How to place Bracket Order and Cover Order on Shoonya web"":- 

https://youtu.be/0LIBRKOza_Q",,,,,,
How to place AMO order on Shoonya Web?,"Please find below the YouTube video link of ""How to place AMO order on Shoonya Web"" - 
https://youtu.be/MFjEjKLdGBI",,,,,,
How to use Shoonya web?,"Please find below the YouTube video link of ""Shoonya Web Overview | Finvasia"" - 
https://www.youtube.com/watch?v=XjSrjo_pZqg",,,,,,
How to remove stocks from the watchlist in Shoonya Web?,Go to the scrip in the Marketwatch and click on the delete option.,,,,,,
How to modify or cancel pending orders in the Shoonya web?,"Please find below steps:

1. Go to ""Orders"".

2. Click on the Show Menu icon.

3. Click on the ""Modify"" or ""Cancel"" options.",,,,,,
How can I modify or delete my IPO application?,"Please find below the steps to invest in IPOs using Shoonya:

1) Log in to Shoonya and go to the IPO section.

2) Go to Order history

3) Select the IPO and click on Modify.

3) You can modify or cancel your IPO",,,,,,
How to invest in Mutual funds from Shoonya Web?,"To invest in mutual funds via Shoonya web please follow the below steps: - 

1. Go to Marketwatch. 

2. Click on the Show Menu icon.

3. Click on the Purchase Mutual Fund or Create XSIP.

4. Enter required details.

5. Click on Purchase. 

Please NOTE:

-You can Buy Mutual funds between 10:00 AM to 5:00 PM and redeem them between 10:00 AM to 3:00 PM (Monday to Friday only) 

-Clients can not Buy/Sell on Saturday & Sunday and on Exchange Holidays.

-You can check the MF order in the order book under MF order. 

-You can sell direct mutual funds through EDIS if POA is not linked.",,,,,,
How to log into Shoonya mobile?,"To access the Shoonya Mobile, download ""Shoonya"" from Android Play Store or App Store iOS.
In order to login into the mobile app- - Enter your ""Client Code"" under ""Enter User ID"".

Then, Enter your Password and Pan Number/ Date of Birth and click on Login.

You must have received the username on your registered email ID when you opened an account with us.",,,,,,
How do I apply studies and tools on charts in Shoonya mobile?,"You can apply studies and tools on a given chart in the following way - 

-Select ""Studies"" from the top of the charting window. 

-Choose the study which you want to apply from the drop-down. You can also search the name of the study, you want to apply for. 

-For tools, click on the Pencil located on the top right corner of the charting window and select the tool you want to apply from the drop-down list.",,,,,,
How to use charts available on Shoonya Mobile?,"To access charts on shoonya mobile, click on scrip you want to view the chart of. Chart will be displayed on the bottom of the scrip info. To view the full screen, you can simply click on the rotate button.",,,,,,
How to change between Different chart types?,"You can select between multiple chart types by clicking on the ""Display"" button from the charting menu. You can select from over 8 different chart styles from the drop-down menu.",,,,,,
Do I receive my order related notifications in Shoonya Mobile?,"Yes you can get order related notification in the Shoonya app viz: login into the app, after logging in you will see the dashboard at the bottom right of the screen you will see an orderbook icon. Click on that and you will see all orders, pending orders and trades or completed orders.",,,,,,
How to view market Depth on Shoonya mobile app?,"Market Depth is an important feature of Shoonya that details the following features: - Real-time scrip details and best 5 Bid/Ask Price.

To view market depth, click on your preferred scrip from the watchlist and swipe right or click on ""Depth"", next to ""Overview"".",,,,,,
How do I change the colour scheme of Shoonya mobile app?,"Open ""Settings"" from the menu located under three horizontal lines at the top of the trading platform. You can switch on the ""Night theme"" for dark mode. To turn back to Day mode, switch off the night mode option.",,,,,,
How can I access my Trade Book on Shoonya Mobile?,"To access ""Trade Book"" in Shoonya, open ""Orderbook"", located at the right bottom corner of the trading platform, and then switch to ""Trade Book"". Here you can view all the orders you have placed in a day.",,,,,,
Where do I view my holdings on Shoonya mobile?,"Once logged in, click on ""Positions"" from the bottom menu. And the switch to ""Holdings"" to view LTP, Overall Gain/Loss, Total Valuation, and Total MTM.",,,,,,
Where do I see my positions on Shoonya mobile?,"Once logged in, click on ""Positions"" from the bottom menu, where you can view all your positions under the ""All"" tab including total MTM, realized MTM, under ""Day"". you can view your positions of the day and your expiry positions under ""Expiry"" tab.",,,,,,
How do I see my open orders on Shoonya Mobile?,"Once logged in, click on ""Order Book"" from the bottom menu. Here you can switch to the ""Pending"" tab to view your open orders.",,,,,,
What are the different order types available on Shoonya?,"An order type signifies the nature of instruction you give to your stockbroker to execute your transaction. The following order types are available on Shoonya: - 
1. Market - A market order is an order to buy or sell scrips at the current best available price.
2. Limit - A limit order is buying or selling scrips at a specified price. 

3. Stoploss Limit (SL) & Market (SL-M)- A stop-loss order remains passively in the exchange's stop-loss order book until your defined trigger price is breached. Once the trigger is breached, the order works exactly like a limit (SL) or market (SL-M) order. 


Please refer to the video link from your youtube channel at Shoonya: 

How to place various order types on Shoonya Desktop:
https://youtu.be/nUwxaFejwvk

How to place various order types on the Shoonya web: 

https://youtu.be/ueTDyzUWIBY

",,,,,,
How to Buy and Sell in Shoonya Mobile?,#NAME?,,,,,,
How do I create a custom market watch list on Shoonya mobile ?,"Go to ""Watchlist"" from the menu at the bottom of the screen. 

From here, click on the three horizontal lines located at the bottom of the window, and click on ""+"" to add a new watchlist. 

Now enter the name of your watchlist and click on submit. 

Now to add scrips to your watchlist, first open the watchlist from the watchlist dropdown, by default it is set to ""NIFTY"". To add stocks to your watchlist, click on the search icon located at the top of the watchlist window and search the scrip and click ""Add"". 

If you want to remove any particular scrip, search the name of that scrip and click on ""Remove"".

For more details, find below videos: 

How to create a watchlist on Shoonya mobile (English) https://youtu.be/Wu9UqOmY0vg

How to create a watchlist on Shoonya mobile (HINDI ) - https://youtu.be/zeBa03uZECk",,,,,,
How to add funds and request withdrawal from Shoonya mobile?,"To add funds and request withdrawal, select ""Fund Transfer"" from the left menu. 

To Add Funds: - Enter the amount you want to transfer and then select the payment method and click on ""Add Funds"". 

To Request Withdrawal: -Switch to ""Withdraw Funds"" and enter the amount you want to place a withdrawal request for. And select all the required fields. Then click on ""Withdraw Funds"".
  
Was this article helpful?",,,,,,
"How do I change my password from Shoonya mobile application?
","1) To change the password go to ""Settings"" from the left-hand menu. 

2) And click on ""Change Password"", here enter your Old Password and then set your New Password as per your preference. 

Please note: Password must contain one upper case, one lower case, one special character and should be alphanumeric. 

3) Once done, click on ""Submit""",,,,,,
I'm blocked. How do I regain access to my Shoonya mobile again?,"Please follow the steps below to unblock your account -
1. Click on ""Forgot Password"" on the Shoonya mobile app.
2. Enter your UCC code, PAN and Date of birth.
3. Click on the ""Reset and Unblock"" button.
You can now log in with the new password sent to your registered email ID.  ",,,,,,
"Can I login on Shoonya desktop, web and mobile application at the same time?","Yes, you can log in on the Shoonya desktop, web and mobile application at the same time.",,,,,,
"How to invest in Mutual funds from Shoonya Mobile?
","To invest in mutual funds via Shoonya mobile please follow the below steps: - 

1. Go to the WatchList. 

2. Click on the Marketwatch and select MF Watch.

3. Click on the (+) icon to add any Mutual Fund (SIP or Lump sum).

4. Enter required details.

5. Click on Purchase. 

Please NOTE:

-You can Buy Mutual funds between 10:00 AM to 5:00 PM and redeem them between 10:00 AM to 3:00 PM (Monday to Friday only).

-Clients can not Buy/Sell on Saturday & Sunday and on Exchange Holidays.

-You can check the MF order in the order book under MF order. 

-You can sell direct mutual funds through EDIS if POA is not linked.",,,,,,
How to invest in IPO using Shoonya mobile app?,"Please find below steps to invest in IPOs using Shoonya:

1) Log in to Shoonya app.

2) Apply IPO using your UPI id. 

A) Open the ""More"" option and click on the ""IPO"".

B) Select the IPO you want to apply for from the list of open issues and click on ""Apply"".

C) Place your bid(s):

-Select the investor type for your application that is IND (Individual).

-Enter the quantity.

-Enter Price: If you wish to apply at the cut-off price, simply click on the checkbox. If you want to place a bid at a different price, you can do so by entering a price in the ‘Price’ field.

D) Enter your UPI id and click on ""Place Order"".

E) Check your details on the ""IPO Order Confirmation"" window and ""Confirm"".

F) IPO order placed successfully and your order reference number will be generated.

3) Check mandate notification on your UPI app & approve with UPI PIN.

To check the status of your order you can go to ""IPO Order Book"" in Shoonya.

For more details please find below the video link: 

How to apply for IPO Shoonya mobile

https://youtu.be/UgPaNKE8M9c",,,,,,
"How do I view my balance, margin, realized and unrealized PNL on Shoonya mobile?
","All your information including Portfolios Value, Limits (Margin available and used margin), Orders (Executed, Pending, Others) and Positions (MTM, Book PnL), Long Positions, short positions, and closed positions can be viewed under ""Dashboard"", which can be selected from the menu located at the bottom of the trading platform.",,,,,,
How can I square off my position on Shoonya mobile?,"To Square off your position, go to the ""Positions"" tab. 

Click on the open position you want to square off, you'll be given 3 options to select including the ""SquareOff"" option, simply click on it to close your position.",,,,,,
How to modify or cancel your open order on Shoonya Mobile?,"Please find below steps:

1. Go to ""Orders"".

2. Click on the scrip which you want to modify or cancel.

3. Click on the ""Modify"" or ""Cancel"" option.",,,,,,
How do I set up additional security on Shoonya mobile?,"To add additional security to your account, you can set up 4 Digit MPIN. 

To set up MPIN, go to ""Settings"", and switch on the ""Secure Your Account"" option. And set a 4 Digit PIN of your choice. 

You can use this 4 Digit PIN to log in, without the need to enter a password every time.",,,,,,
"What is Limit at SOD, Adhod Limit & collateral value in Shoonya mobile app under LIMIT?","Limit at SOD- Opening balance only (end of yesterday's balance).
Adhoc- Your funds will be updated under Adhoc if you have transfer funds through Cheque so that you can use this amount during the market hours.

Collateral amount - The stock collateral margin is the margin received against pledged stocks/ETFs after the haircut deduction. If you’ve pledged stocks/ETFs you will be able to see the stock collateral margin under the fund's tab in Shoonya.",,,,,,
"How to convert position in Shoonya desktop, web and mobile app?","All you need to go to Net positions in your web/mobile and desktop and there is the option of convert to position/convert to delivery and square off.

Web - login in your Shoonya < to go net positions < then click on three dots mentioned on the extreme right with action head and then you can square off or convert your positions

Mobile - Go to net positions click on any script and then you can square off or convert your positions

Desktop - Go to the net position from trade head or click short key for net positions as Alt + F6 then select any script and there you will find the option to square off or convert your positions

Note: If you click on square off then the position will be cleared on the spot and market price and if you click on convert to delivery then it will be converted to carry

You can also convert the partial position to delivery as per your requirement.",,,,,,
What is the difference between Margin and Intraday product type in Shoonya?,"MIS (Margin Intraday square-off) is used for trading Intraday Equity, Intraday F&O, and Intraday Commodity or currency Trading.

If you placed your order at MIS then it will automatically square off on the same day.

MARGIN stands for Normal order, at times called regular margin orders. MARGIN is used to take the overnight positions of FNO/MCX/CDS. Once a position is taken as a margin, it can be held till the expiry.",,,,,,
"How to delete a stock from the market watch in Shoonya mobile app?
","Please find below steps to delete scrips from the Marketwatch: 

1. Open Marketwatch.

2. Click on the 3 dots on the top right corner.

3. Click on delete scrips.

4. Delete scrips as per your choice.",,,,,,
How to place GTC and GTD orders on Shoonya mobile?,"Open trade window in Shoonya mobile app > Select Validity > Select GTD/GTC
GTC/GTD options are available in MCX only. 

Please find the below YouTube video link : 

https://www.youtube.com/watch?v=JTsHEo8wNwQ",,,,,,
Why buy price of carry positions will reflect incorrect in Shoonya?,"For derivative segments, it shows the previous day's closing price as Buy\Sell average price in our trading platform. You can check the average buy/sell price of your carry positions in your back office in contract notes, trade confirmation, or net positions.",,,,,,
"How to login as a ""GUEST"" on Shoonya Mobile app?
","You can install Shoonya mobile app from Appstore or play store and use it as a Guest login. Please find the below YouTube video link of ""How to login as a ""Guest"" on Shoonya Mobile app"" -

https://www.youtube.com/watch?v=lpeu1matKmo ",,,,,,
How to use Shoonya Mobile App?,"Please find below the YouTube video link of ""Shoonya Mobile App Overview | Finvasia"" - 
https://youtu.be/vFB-Fvgm6q4",,,,,,
"How to place AMO order on Shoonya Mobile App?
","Please find below the YouTube video link of ""How to place AMO order on the Shoonya Mobile App"" - 

AMO Order(English)- https://www.youtube.com/watch?v=3vjFEGoskEI

AMO Order(Hindi)- https://www.youtube.com/watch?v=fGXV8mER2lo&t=25s",,,,,,
"How to use Option Chain in the Shoonya App?
","Please find the below YouTube video link of ""How to use Option Chain in the Shoonya App"" - 

https://www.youtube.com/watch?v=QFMhBPFvCkE",,,,,,
How to place Bracket Order and Cover Order on shoonya Mobile App?,"Please find below the YouTube video link of ""How to place Bracket Order and Cover Order on Shoonya Mobile App"":- 

https://www.youtube.com/watch?v=Gna9mOmsoS4&feature=youtu.be",,,,,,
How to bulk authorize via eDIS on Shoonya Mobile?,"Please find the below YouTube link of ""How to bulk authorize via eDIS on Shoonya Mobile"" - 

https://www.youtube.com/watch?v=k5AfL-HunLU",,,,,,
How to remove stocks from the watchlist in the Shoonya Mobile app?,Click on the 3 dots icon on the top-right corner and click on Delete Scrips.,,,,,,
What are the basic mobile requirements to use Shoonya mobile app on Android?,Shoonya mobile app will work on Android 8 or above versions.,,,,,,
"How to set an alert at a specific price of scrip in the Shoonya app?
","Please find below steps to set an alert:

1. log in to your Shoonya app.

2. Click on a particular scrip from the market watch.

3. Click on the ""Set Alert"" icon.

4. Enter the alert parameters and remarks.

5. Click on set alert.",,,,,,
"How do I switch between TradingView and ChartsIQ on the Shoonya mobile app?
","On Shoonya, we offer charts by ChartIQ and TradingView. ChartIQ charts are enabled by default. You can change your default charting option to TradingView or vice versa by changing your preference.

Go to Profile -- Click on User preference -- Select your charts preference.",,,,,,
How do I view the option chain of derivative contracts on the Shoonya Mobile app?,You can view the Options chain of Indices and F&O stocks on the Shoonya app. Add the scrip whose option chain you want to see on your market watch. Click on the particular scrip and then select 'Option chain'.,,,,,,
"What is the difference between a Trade book and an Order book in Shoonya?
",The primary difference between an order book and a trade book is that the order book is a reflection of all the orders that have been placed while the trade book is a reflection of the trades that have actually been executed.,,,,,,
How to log in to Shoonya using Two Factor Authentication?,"2-Factor Authentication (2FA) is an additional layer of security that protects your account from unauthorised access. With reference to Exchange Circular, the two-factor authentication for the trading account is mandatory from 30th Sep 2022.

What are the two factors of authentication?

a) Knowledge factor (something only the user knows): - Password

b) Possession factor (something only the user has): - OTP/TOTP

How to log in for the first time post-Two Factor Authentication implementation?

1) Enter your User ID & Password.

2) Generate OTP by clicking on ""Get OTP"".

3) Enter OTP and log in.

Once logged in, you can enable Biometric or use an authenticator like Microsoft or Google Authenticator to log in instead of requesting an OTP every time before login.

What is TOTP?

TOTP stands for ‘’ time-based one-time password’’. This TOTP is valid only for a short duration (Usually 30 Seconds) and is regenerated every 30 seconds. A user would have to download any authenticator app like Microsoft authenticator, or Google authenticator on their smartphones. These applications are available on the Play store and app store. TOTP is generated by an authenticator app installed on your smartphone.

Please find below the document link to explain the login process using two-factor authentication: -

https://finvasia.com/downloads/two_factor_authentication.pdf

Please find below the video link: -

https://www.youtube.com/watch?v=pFSKGws2JLw",,,,,,
How to create a Watchlist on the Shoonya desktop?,"Please find below the steps to create a Watchlist on the Shoonya desktop:

Go to the ""Market"" option.

Click on ""Groups"".

Enter a group name and click on ""Add Group"".",,,,,,
"How to delete a market watchlist?
","To delete a market watchlist, hover to ""View"" from the menu bar located at the top of the trading platform and click ""Select Watchlist"". Select any watchlist you want to delete and click on ""Delete"".",,,,,,
"How to add a particular scrip in market watch?
","There are two ways to add a particular scrip to the market watchlist: 

1) Once you open your watchlist, hover over to the Scrip bar (beneath the menu bar) and fill in any one of three inputs (Scrip code / Scrip Symbol / Scrip Name) and press the ""Enter"" key. Once done, the Scrip will be visible under the selected market watchlist. 

2) Press Shift+F12 '' and enter the scrip you want to add and the watchlist in which you want the scrip to be added in and press the ""Enter"" key. Scrip will be reflected in your chosen watchlist.",,,,,,
How to remove a particular scrip from market watch?,"To remove a particular scrip from the watchlist, ""select"" any scrip you want to delete and press the ""Delete"" key from the keyboard. Alternatively, ""select"" the scrip(s) you want to delete and hover to options available on the top right of the watchlist window, click on 3rd last option i.e remove the scrip icon to remove the selected scrip(s).",,,,,,
How to trade in particular scrip?,"1) Select the scrip you want to trade-in. 

2) Press ""F1/ fn+F1"" to open buy and ""F2/ fn+F2"" to open the sell window or right click on the scrip and select ""Buy/sell order"". 

3) Fill in the necessary inputs and click on ""Submit"" to place an order. 

4) Once it's executed, you can view your trade in the ""Trade Book"" (F8 / fn+F8).

For more details, find below videos: 

How to place buy/sell order on Shoonya desktop (English ) - https://youtu.be/WSTjLsFh1Yg

How to place buy/sell order on Shoonya desktop (Hindi) - https://youtu.be/Mgz39czYHrA",,,,,,
Where to view the placed orders?,"Once you have placed an order, press ""F3 / fn+F3"" to open the ""Orderbook"" to view the placed orders. Alternatively, you can hover on to the menu and click on ""Trade"". Then select ""Order Book"" from the drop-down to view the orders you have placed.",,,,,,
"How to modify or cancel orders on Shoonya Desktop?
","Please find below steps: 

Click on ""Trading"".
Open ""Order Book"".
Select any open order and click on Modify or Cancel. ",,,,,,
Where to see the traded orders?,"To check the executed/open/closed/modified order, select ""Trade"" from the menu located at the top of the trading platform. 

From the dropdown, select ""Order Book"" to view all the orders you made. 

To see the specific ""traded"" orders, hover to ""Order Status"", and select ""traded"" from the dropdown to view only traded orders.",,,,,,
"How to square off from the net position window?
","To square off the open position, hover to ""Trade"" from the top menu bar and click ""Net Position"", you can either ""square-off"" a position or bulk square-off of selected/all positions.",,,,,,
"How to View Net Wise or day-wise position on Shoonya Desktop platform?
","You can view Net Position by pressing ""Alt + F6"" or by selecting ""Net Positions"" from the ""Trade"" tab drop down from the Menu bar located on the top of the trading platform. 

For Net position, click on the ""Periodicity"" dropdown. Select ""EXPIRY"", and all ""Net positions"" will be displayed. For Day positions, Select ""DAY"" from the ""Periodicity"" dropdown. And all Intraday positions will be reflected in the Net Position window.",,,,,,
How to enter after market orders?,"To Place AMO orders in Shoonya Desktop, select ""Offline Buy Order Entry"" / ""Offline Sell Order Entry"" under the ""Trade"" tab from the menu located on the top of the trading platform. Alternatively, you can use ""Alt+F1"" to open the AMO buy window and ""Alt+F2"" to open the AMO sell window.",,,,,,
"How to view the Top N Gainers and Losers?
","1) To view ""Top Gainers and Losers"", once logged in to Shoonya desktop, select ""Analytics"" from the menu located at the top of the trading platform. 

2) Select ""Scanners"" where you will find ""Top Gainer Losers"" along with Unusual Volume, Potential Volume, Open vs High/Low, Circuit breaker, High low breach, RNS breach, Technical Scanner and various other Scanner lists.",,,,,,
"How to view the funds or account balance?
","Select ""Trade"" from the menu located at the top of the trading platform. From the dropdown, click ""Funds"" to view limits or total balance. You can also use ""Alt+L"" as a shortcut key to view funds/limits.",,,,,,
How do I lock and unlock Shoonya terminal?,"You can lock the Shoonya Workstation by using ""Ctrl+L"". And to unlock the terminal simply enter your password.",,,,,,
How to view the account balance on Shoonya Desktop Platform?,"You can view the Total balance and Available balance in your account as follows: Click on the ""Trade"" tab from the Menu bar. Click ""Funds"" from the drop-down. Alternatively, you can also open the ""Funds"" window by ""Alt+L"" Here you can view your Total Balance, Utilised Amount, Collateral, Available Balance, ADHOC, and much more.",,,,,,
"How to set an alert for a particular condition on Shoonya Desktop?? Platform?
","You can set alerts for the movement of prices for greater or lower value for the particular stock. 

To set alerts: 1) Select ""Alter Manager"" from the ""View"" tab under Menu or press ""Alt+A"". A new ""Alert Manager"" window will be opened. 

2) To add an alert, click on the ""+"" button from the top right corner of the window. An ""Alert"" window will open. 

3) Enter ""Scrip name"" in the Text box and enter ""Alert Value"". (If the value is greater than the current value, select Criteria Greater or Lower). 

4)Click on the ""Submit"" button. 

5)You will see an ""Alert Created Successfully"" dialog box. Click OK. The Alert set will be visible in the alert manager window.",,,,,,
How to modify or delete alerts on Shoonya Desktop Platform?,"To Modify an existing alert, double click on the scrip from the Alert Manager window. ""Alert Window"" will be opened where you can modify your alert. Once done, click on ""Submit"" To delete an alert, just click on the particular alert and press the ""Delete"" key from the keyboard. Alternatively, you can select the Alert and click on the ""delete"" button located at the top of the Alert Manager Window.",,,,,,
How to change chart style on Shoonya Desktop Platform?,"To change the chart style, click on the ""Display"" from the charting window and select any of the Chart Styles as per your needs.",,,,,,
 How to add technical indicators or studies in Shoonya Desktop Platform?,"Once you open the Chart window from the scrip of your choice. Click on the ""Studies"" and select any of the indicators/bands/oscillators/trends/stats you want to apply on the chart.",,,,,,
How to view charts on Shoonya Desktop Platform?,"Select a scrip you want to view the chart of, and press ""F11 / fn+F11"". Or, right-click on a scrip from the watchlist and click on ""Chart"" to view. You can open more chart windows of different scrips simultaneously.",,,,,,
How to cancel pending orders on Shoonya desktop?,You need to go to Trades >  Order book > Press SHIFT+F1 to Cancel and SHIFT+F2 to modify pending orders. ,,,,,,
What is Bind to excel (RTD) and what is the use of it?,"-Bind to excel is used to link the stocks prices from trading platform watchlist to excel, clients can download the watchlist’s Data in excel.

Please find below the Youtube link of ""How to use bind to excel on Shoonya Desktop"":- 

https://youtu.be/sWDG4t",,,,,,
How can I add the Indicies to the watchlist?,"-On Shoonya Desktop please find below steps to add indices :

1. Click on the View menu

2. Select Index View

3. Right-click and add indices as per your requirements.

-On the Shoonya web by default 4 indices are there like Sensex, nifty, bank nifty & US",,,,,,
"How to change the broadcast in Shoonya Desktop when internet disconnect for a long time?
",In Shoonya desktop you need to do right-click on broadcast then select socket for reconnecting to the internet.,,,,,,
How to link basket order with excel?,"Please find below steps:

1. First, you need to create an excel sheet

2. Open the basket order window in Shoonya.

3. Click on browse and select the excel sheet

4. Click on upload",,,,,,
How to import and export basket order data to excel?,"Please find below steps:

1. Open bulk order window

2. Select Exchange, Instrument, Symbol, Sell Expiry, Buy Expiry, and Quantity.

3. Click on the “excel” symbol.

4. Save the file in the system",,,,,,
How to buy and sell from the Shoonya desktop in the options chain?,In Shoonya Desktop you need to do right-click on a specific script and Click on the options chain.,,,,,,
How to place basket or Bulk order?,"Please find below steps to place a Basket or bulk order: 

1. Go to the ""Trading"" option from the Menu bar. 

2. Click on basket order. ",,,,,,
How to square off bulk positions in a single click?,"Currently, this facility is available in Shoonya Desktop only. You need to select all positions and click on the bulk square off in the net position option.",,,,,,
"How to change the settings like colors, fonts, etc. in Shoonya desktop?",You need to right-click on the Symbol bar---select “Custom” --- Fonts/color.,,,,,,
Can we change the Default lot size in Shoonya?,"Currently, you can change the default lot size in the equity segment on the Shoonya desktop only.",,,,,,
Can I install two instances of Shoonya in Windows 10?,"Yes, you can install 2 Shoonya in window 10.",,,,,,
How to Buy and Sell on Shoonya desktop?,"Please find below youtube video links of ""How to Buy and Sell on Shoonya desktop"" - 

How to place buy/sell order on Shoonya desktop ( English ) - https://www.youtube.com/watch?v=WSTjLsFh1Yg

How to place buy/sell order on Shoonya desktop ( Hindi ) - https://www.youtube.com/watch?v=Mgz39czYHrA&feature=youtu.be",,,,,,
How to place GTC and GTD orders on Shoonya Desktop?,"Please find the below YouTube link of ""How to place GTC and GTD orders on Shoonya Desktop"" - 

https://www.youtube.com/watch?v=NbwcMoJFcnk",,,,,,
How to place AMO order on Shoonya Desktop?,"Please find below the YouTube video link of ""How to place AMO order on Shoonya Desktop"" - 

https://www.youtube.com/watch?v=6DYo1YkwpUU",,,,,,
How to place Bracket Order and Cover Order on shoonya desktop?,"Please find below the YouTube video link of ""How to place Bracket Order and Cover Order on Shoonya desktop"":- 

https://www.youtube.com/watch?v=BkGS7jKY92s&feature=youtu.be",,,,,,
How to use Shoonya desktop?,"Please find below the YouTube video link of ""Shoonya Web Overview | Finvasia"" - 
https://www.youtube.com/watch?v=AflrjO79Wlw&feature=youtu.be",,,,,,
"How to close the bulk order?
","You need to go to “Net Position” in Shoonya.

Select scrips and click “square off”.",,,,,,
"How can I save my time frame, chart style, and indicator settings in Shoonya?","There are 2 types of charts available in Shoonya:

1) TradingView

2) ChartIQ

You can select a Chart type from chart preference in Shoonya.

Currently, in TradingView you can not save any chart settings.

ChartsIQ: - Please find below steps to save your charts:

1. Select the required time frame and chart type.

2. Apply the required indicators from the display.

3. Click ""save view"" under views.

4. Enter the view name and click the save button.

5. Click save preferences under the layout.

So if you want to save your Chart time frame, chart style, and indicator settings, you need to use ChartIQ charts.",,,,,,
How to remove stocks from the watchlist on the Shoonya desktop?,Select any scrip in the Marketwatch and press the Delete button from your keyboard.,,,,,,
Are there any filters available in the Net position for F&O trades in Shoonya?,"Yes, you can filter your trades in NetPosition in Shoonya. Please find below steps:

1. Open Net Position window

2. Press CTRL+F for filters. You can also click on the column for the filters.",,,,,,
"How to add indices in Shoonya Marketwatch?
","You can add the indices like Bank Nifty, Nifty, or Sensex to your Marketwatch by typing ' INDICES' in the universal search bar. 

Select one and click on the + icon.",,,,,,
What are the basic system requirements to use the Shoonya desktop?,"Please find below the system requirements for Shoonya:

1. i-3 processor

2. Windows 10

3. 6 to 8 GB RAM",,,,,,
How to save charts on ChartIQ on Shoonya Mobile?,"Please find below steps to save your charts:

1. Open the chart of any scrip, select the required time frame and chart type.

2. Apply the required indicators from the display.

3. Click ""save view"" under the view icon.

4. Enter the view name and click the save button.",,,,,,
How to change the background color on the Shoonya desktop?,"Please find below steps: 

1. Go to the Marketwatch.

2. Right-click on the Column bar and click on CustomizeColors.

3. Select a background color and apply settings.",,,,,,
How to set the default order settings on the Shoonya desktop?,"Please find below steps:

Go to the ""Help"" option.

Click on ""Settings"".

Select ""Order"".

Select order settings like Quantity, Order type, product type, etc and apply.",,,,,,
How to open multiple charts on the Shoonya desktop?,"Please find below the steps to open multiple charts on the Shoonya Desktop:

1. Open a chart of any particular scrip

2. Chart window will appear.

3. Click on the chart window and adjust it on your screen as per your requirements.

4. Now you can open multiple charts and adjust these on your screen.",,,,,,
How many orders can be placed in one basket order?,You can place up to 200 orders in 1 basket order.,,,,,,
How to change & update mobile number ?,"You can request the change in PRISM. Once logged in, click on ""Services"" on the left-hand menu, then select the ""Change Phone Number"" option to lodge the request. ",,,,,,
How to reactivate an existing account?,"Please find below the reactivation process: 

1. Log in to your prism portal: https://prism.shoonya.com/

2. Click on the 'Services' icon from the left bar.

3. Click on “Reactivate trading account“. 

4. Select the last trade date and segment you wish to activate.

5. Upload the required documents and Submit.
6. Support team will check and verify your ticket within 24 hours. You will get an email notification for the same.  

7. E-sign the ticket using your Aadhaar number.

8. Once you have completed the E-sign process, the IPV (In-Person Verification) team will contact you for the video call. You need to show your original address proof over the video call. 

After the IPV, your account will be activated within 24 hours, and you will get login credentials on your registered email.



For more details, please find the below YouTube video link: 

https://www.youtube.com/watch?v=hFlrj9JSbEY",,,,,,
How to download contract notes from PRISM?,"To view contract notes, hover on to 'Manage Account' from the left-hand menu and select 'Contract Notes'. Also note, Contract notes are sent to respective registered mail as well at the end of the day.

Please find below the YouTube video link of ""How to download contract notes from PRISM"" - 

https://www.youtube.com/watch?v=6xKVJwalqck",,,,,,
I forgot my PRISM password. How do I reset?,"If you forgot your PRISM password, simple click ""Forgot Password"" from the login page and enter your 'PAN or Client Code'. A 'Rest Password' link will be sent to your registered email. Click on it and enter your new preferred password and click on ""Submit"".",,,,,,
I did not open demat account during registration. Can I open demat account in PRISM?,"Yes. To open a demat account with us, login into your PRISM account and select 'Services' icon from the left bar menu. Scroll down to 'Other Services' and click on 'Open Demat Account'. Here, upload the necessary documents and click on 'Submit'.",,,,,,
How do I add or change my registered bank account in PRISM?,"To change registered bank account, login into your PRISM and click on 'Services' icon from the left bar menu and select 'Add New Bank Account'. Enter all the required fields and click on 'Proceed'. A ticket will be opened for the same, where you can monitor the progress of your request.",,,,,,
Where can I find my open ticket in PRISM?,"To view your 'Open Tickets', select 'Services' icon from the left bar menu, and select 'Open Request' from the menu located on the top of the page. Here you can see all your open tickets along with created date, last activity and status.",,,,,,
How do I check my holding details in PRISM?,"To view your Holdings in PRISM, select 'Manage Account' icon from the left bar menu, and click on Portfolio. Here, you will find two tabs on the top of the page: 'Positions' and 'Holdings'. Click on 'Holdings' tab and you can see all the details of your holdings with Scrip Name, Holding Qty, DP code, Value, Close Rate etc.",,,,,,
What is T+2 settlement and how does it works?,"T+2 settlement cycle means that the final settlement of transactions done on T i.e. trade day by exchange of monies and securities between the buyers and sellers respectively takes place on the second business day (excluding Saturdays, Sundays, bank, and Exchange trading holidays) after the trading day.",,,,,,
